feature,importance
vote_count,0.3926924150799139
budget,0.36544516260032084
popularity,0.0698862317696404
release_year,0.038152638750720884
runtime,0.03705595115290127
vote_average,0.032049327105665756
release_month,0.017577936074823584
genre_adventure,0.007816522132356382
genre_family,0.004244868937461277
genre_animation,0.00394461361848308
genre_comedy,0.00387020175871685
genre_science_fiction,0.0038687386927370782
genre_fantasy,0.003064623345693471
genre_drama,0.0029423645601580253
genre_thriller,0.002757861494570884
genre_action,0.0027029415565697663
genre_romance,0.0022447803292072743
genre_crime,0.0020146879841019213
genre_war,0.0016563094636046888
genre_mystery,0.0013205072211749768
genre_music,0.001201821567536217
lang_en,0.000960204955262462
lang_others,0.0008145389479221559
genre_horror,0.0007755306425882469
genre_history,0.0007065246761997261
genre_western,0.0001958978353662291
genre_documentary,3.3033620724802125e-05
genre_tv_movie,3.764125577630252e-06
